,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
1099,Washington,Guest suite in Washington,2,4,False,True,True,True,True,,True,True,True,True,True,False,733,62,4.65
1100,Washington,Apartment in Washington,1,2,False,True,,,,,True,True,True,True,,False,465,4,4.75
1101,Washington,Apartment in Washington,1,2,True,True,True,True,True,,True,True,True,True,True,True,1018,104,4.74
1102,Washington,Room in Washington,1,2,False,True,True,True,True,,True,,True,,True,False,590,10,4.1
1103,Washington,Apartment in Washington,1,2,True,True,True,True,True,,True,True,True,True,,False,748,27,4.56
1104,Washington,Room in Washington,1,2,False,True,True,True,,True,True,True,True,True,,False,363,51,4.63
1105,Washington,Room in Washington,1,2,False,True,True,True,True,True,True,True,True,True,True,False,426,219,4.59
1106,Washington,Apartment in Washington,2,4,False,True,,True,True,,True,True,True,,True,True,1050,137,4.76
1107,Washington,Apartment in Washington,2,4,True,True,,True,True,,True,True,True,True,True,False,622,2,5.0
1108,Washington,Guest suite in Washington,2,4,False,True,,True,True,,True,True,True,True,,True,746,185,4.89
1109,Alexandria,Apartment in Alexandria,1,6,False,True,True,True,True,,True,True,True,True,True,False,881,131,4.79
1110,Takoma Park,Room in Takoma Park,1,1,,True,True,True,True,True,True,True,,True,,False,255,3,5.0
1111,Washington,Apartment in Washington,2,5,True,True,True,True,True,,True,True,True,,True,True,1446,100,4.78
1112,Washington,Apartment in Washington,2,4,False,True,,True,True,,True,True,True,True,True,True,934,0,0.0
1113,Arlington,Condo in Arlington,2,4,False,True,True,True,True,,True,True,True,True,True,False,853,22,4.27
1114,Arlington,Room in Arlington,1,1,False,True,True,,,True,True,True,True,True,,True,391,83,4.81
1115,Alexandria,Room in Alexandria,1,2,False,True,True,True,,True,True,True,True,True,,True,345,181,4.73
1116,Washington,Room in Washington,1,2,False,True,True,True,True,,True,,True,,True,False,590,10,4.1
1117,Washington,Apartment in Washington,1,2,True,True,True,True,True,,True,True,True,True,True,True,1018,104,4.74
1118,Washington,Guest suite in Washington,2,4,False,True,True,True,True,,True,True,True,True,True,False,733,62,4.65
1119,Washington,Apartment in Washington,1,2,False,True,,,,,True,True,True,True,,False,465,4,4.75
1120,Washington,Room in Washington,1,2,False,True,True,True,True,True,True,True,True,True,True,False,426,219,4.59
1121,Washington,Apartment in Washington,1,2,True,True,True,True,True,,True,True,True,True,,False,748,27,4.56
